HD 124330 b,238.37131
HD 12484 b,947.1334
HD 125595 b,6.3566
HD 125612 b,945.22168
HD 125612 c,15.57359
HD 12648 b,622.9468
HD 126525 b,75.32571
HD 12661 b,772.3269
HD 12661 c,575.884
HD 127506 b,27.33324
HD 128311 b,562.24127
HD 128356 b,282.8687
HD 130322 b,365.49
HD 131496 b,572.094
HD 13167 b,1052.0173
HD 13189 b,3480.2385
HD 132563 b,473.547
HD 133131 A b,451.3186
HD 133131 A c,133.4886
HD 133131 B b,794.575
HD 134060 b,10.1
HD 134060 c,29.29
HD 134987 b,511.7063
HD 134987 c,260
HD 136418 b,680.1562
HD 136925 b,266.97586
HD 13724 c,50.85255
HD 137388 b,63.566
HD 137496 c,2434.5656
HD 13808 b,11.2
HD 13808 c,9.96
HD 13908 b,274.91
HD 13908 c,1630.4
HD 140901 b,15.57359
HD 141004 b,13.63484
HD 141399 b,143.34133
HD 141399 c,422.7139
HD 141399 d,375.0394
HD 141399 e,209.7678
HD 141937 b,3079.7727
HD 142 A d,82.63539
HD 142 b,396.96768
HD 142245 b,975.7381
HD 142415 b,530.7761
HD 143105 b,384.5743
HD 144899 b,20.34102
HD 145377 b,1913.3366
HD 145457 b,888.01257
HD 1461 b,6.44
HD 1461 c,5.59
HD 147018 b,674
HD 147018 c,2080
HD 147379 b,21.6
HD 147513 b,385
HD 14787 b,356.28743
HD 147873 b,1633.6462
HD 147873 c,731.009
HD 148156 b,270.144
HD 148164 b,390.9309
HD 148164 c,1640.0028
HD 148427 b,413.179
HD 149143 b,422.7139
HD 150010 b,762.78818
HD 1502 b,874.0325
HD 151450 b,38.45724
HD 152079 b,845.74563
HD 152581 b,594.02427
HD 153557 b,20.34102
HD 153557 c,17.48056
HD 153950 b,937.5985
HD 154088 b,6.6
HD 154672 b,1706.7471
HD 154857 b,778.6835
HD 154857 c,819.97
HD 155193 b,238.37131
HD 155358 b,314.6517
HD 155358 c,261
HD 155918 b,7.62788
HD 156098 b,15.89142
HD 156279 b,2997.75753
HD 156411 b,235.18
HD 156668 b,4.15
HD 156668 c,31.4968
HD 156846 b,3391.2461
HD 158038 b,486.2799
HD 158259 c,5.6
HD 158259 d,5.41
HD 158259 e,6.08
HD 158259 f,6.14
HD 158996 b,4449.62
HD 159243 b,359.13
HD 159243 c,603.9
HD 159868 b,704.94694
HD 159868 c,244.09344
HD 1605 b,296.85322
HD 1605 c,1150.5446
HD 160691 d,10.17
HD 161178 b,181.16219
HD 16141 b,82.6358
HD 162020 b,3127.4472
HD 163607 b,249.05159
HD 163607 c,699.54383
HD 16417 b,22.1
HD 164509 b,140.79869
HD 164595 b,16.14
HD 164604 b,635
HD 164922 b,116
HD 164922 c,13
HD 164922 d,4
HD 164922 e,10.52012
HD 165155 b,918.5287
HD 1666 b,2040
HD 167042 b,444.00628
HD 167768 b,270.15415
HD 168009 b,9.53485
