EPIC 201170410.02,1.15
EPIC 201238110 b,4.16
EPIC 201427007 b,2.86
EPIC 201497682 b,0.26
EPIC 201595106 b,2.24
EPIC 201615463 c,1.98
EPIC 201754305 d,1.08
EPIC 201757695.02,0.688
EPIC 201833600 c,0.972
EPIC 201841433 b,1.12
EPIC 205950854 c,2.27
EPIC 206024342 b,3.53
EPIC 206024342 c,2.54
EPIC 206024342 d,7.27
EPIC 206032309 b,1.01
EPIC 206042996 b,3.53
EPIC 206042996 c,1.87
EPIC 206215704 b,0.972
EPIC 206317286 b,0.84
EPIC 206317286 c,5.03
EPIC 211822797 b,4.35
EPIC 212297394 b,2.79
EPIC 212297394 c,5.77
EPIC 212424622 b,5.35
EPIC 212499991 b,3.19
EPIC 212587672 b,2.13
EPIC 212587672 c,5.99
EPIC 212624936 b,1.87
EPIC 212624936 c,5.9
EPIC 212737443 b,7.2
EPIC 212737443 c,7.7
EPIC 220492298 b,0.937
EPIC 220554210 c,3.19
EPIC 228836835 b,1.37
HD 108236 b,3.24
HD 108236 c,4.94
HD 108236 d,6.98
HD 108236 e,9.71
HD 108236 f,4.72
HD 109833 b,8.69
HD 109833 c,7.22
HD 15906 b,5.65
HD 15906 c,8.91
HD 235088 b,4.84
HD 56414 b,13.3
HD 63433 b,5.27
HD 63433 c,7.61
HIP 113103 b,4
HIP 113103 c,6.35
HIP 41378 b,6.83
HIP 41378 c,7.08
HIP 41378 d,14.9
HIP 41378 e,26
HIP 41378 f,74
HIP 67522 b,72.4
HR 858 b,5
HR 858 c,4.42
HR 858 d,5.32
K2-101 b,4.66
K2-102 b,2.24
K2-104 b,3.86
K2-11 b,44.4
K2-116 b,0.257
K2-117 b,4.78
K2-117 c,4.9
K2-118 b,6.99
K2-119 b,6.94
K2-120 b,4.7
K2-121 b,44.1
K2-122 b,1.65
K2-123 b,8.05
K2-124 b,8.75
K2-125 b,5.39
K2-126 b,4.54
K2-127 b,52.9
K2-128 b,2.6
K2-129 b,1.12
K2-13 b,4.23
K2-130 b,2.1
K2-133 b,2.36
K2-133 c,3.2
K2-133 d,4.67
K2-133 e,3.64
K2-14 b,20.7
K2-147 b,0.315
K2-148 b,2.33
K2-148 c,3.64
K2-148 d,3.33
K2-149 b,3.33
K2-15 b,6.71
K2-150 b,4.66
K2-151 b,2.83
K2-152 b,5.86
